chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	7059	38.96	61.04
NC_047151.1.10107	NC_047151.1	10107	F	5540	64.46	35.54
NC_047151.1.10114	NC_047151.1	10114	F	5155	69.49	30.51
NC_047151.1.10195	NC_047151.1	10195	F	944	42.90	57.10
NC_047151.1.10251	NC_047151.1	10251	F	486	69.55	30.45
NC_047151.1.1026	NC_047151.1	1026	F	320	35.00	65.00
NC_047151.1.10304	NC_047151.1	10304	F	538	75.28	24.72
NC_047151.1.10419	NC_047151.1	10419	F	845	34.67	65.33
NC_047151.1.10443	NC_047151.1	10443	F	773	60.41	39.59
NC_047151.1.10450	NC_047151.1	10450	F	741	69.64	30.36
NC_047151.1.1050	NC_047151.1	1050	F	324	64.51	35.49
NC_047151.1.10531	NC_047151.1	10531	F	244	57.79	42.21
NC_047151.1.10550	NC_047151.1	10550	F	88	34.09	65.91
NC_047151.1.1057	NC_047151.1	1057	F	312	75.32	24.68
NC_047151.1.10585	NC_047151.1	10585	F	312	70.19	29.81
NC_047151.1.10638	NC_047151.1	10638	F	698	76.65	23.35
NC_047151.1.10753	NC_047151.1	10753	F	788	24.49	75.51
NC_047151.1.10762	NC_047151.1	10762	F	667	34.63	65.37
NC_047151.1.10784	NC_047151.1	10784	F	568	51.94	48.06
NC_047151.1.10865	NC_047151.1	10865	F	247	45.75	54.25
NC_047151.1.10920	NC_047151.1	10920	F	174	70.11	29.89
NC_047151.1.10974	NC_047151.1	10974	F	98	78.57	21.43
NC_047151.1.11089	NC_047151.1	11089	F	269	39.41	60.59
NC_047151.1.11098	NC_047151.1	11098	F	257	49.03	50.97
NC_047151.1.11120	NC_047151.1	11120	F	402	61.69	38.31
NC_047151.1.11201	NC_047151.1	11201	F	1010	54.55	45.45
NC_047151.1.11256	NC_047151.1	11256	F	1215	72.02	27.98
NC_047151.1.11309	NC_047151.1	11309	F	1216	82.32	17.68
NC_047151.1.1138	NC_047151.1	1138	F	411	47.45	52.55
NC_047151.1.11406	NC_047151.1	11406	F	1328	45.18	54.82
NC_047151.1.11424	NC_047151.1	11424	F	1379	28.64	71.36
NC_047151.1.11441	NC_047151.1	11441	F	1358	60.46	39.54
NC_047151.1.11448	NC_047151.1	11448	F	1501	54.16	45.84
NC_047151.1.11455	NC_047151.1	11455	F	1462	62.65	37.35
NC_047151.1.11536	NC_047151.1	11536	F	1387	43.40	56.60
NC_047151.1.11556	NC_047151.1	11556	F	1254	25.92	74.08
NC_047151.1.11591	NC_047151.1	11591	F	1049	67.40	32.60
NC_047151.1.11629	NC_047151.1	11629	F	737	59.84	40.16
NC_047151.1.11644	NC_047151.1	11644	F	595	76.81	23.19
NC_047151.1.11760	NC_047151.1	11760	F	388	27.32	72.68
NC_047151.1.11769	NC_047151.1	11769	F	363	29.48	70.52
NC_047151.1.11791	NC_047151.1	11791	F	350	54.29	45.71
NC_047151.1.11872	NC_047151.1	11872	F	127	54.33	45.67
NC_047151.1.11927	NC_047151.1	11927	F	67	74.63	25.37
NC_047151.1.1194	NC_047151.1	1194	F	394	68.53	31.47
NC_047151.1.11980	NC_047151.1	11980	F	68	86.76	13.24
NC_047151.1.12095	NC_047151.1	12095	F	206	46.60	53.40
NC_047151.1.12104	NC_047151.1	12104	F	232	54.31	45.69
NC_047151.1.12126	NC_047151.1	12126	F	283	67.14	32.86
NC_047151.1.12207	NC_047151.1	12207	F	322	53.42	46.58
NC_047151.1.12262	NC_047151.1	12262	F	172	61.63	38.37
NC_047151.1.12300	NC_047151.1	12300	F	117	64.96	35.04
NC_047151.1.12315	NC_047151.1	12315	F	73	68.49	31.51
NC_047151.1.12430	NC_047151.1	12430	F	61	49.18	50.82
NC_047151.1.12454	NC_047151.1	12454	F	70	67.14	32.86
NC_047151.1.12461	NC_047151.1	12461	F	66	66.67	33.33
NC_047151.1.1247	NC_047151.1	1247	F	251	71.71	28.29
NC_047151.1.12542	NC_047151.1	12542	F	34	47.06	52.94
NC_047151.1.12597	NC_047151.1	12597	F	23	78.26	21.74
NC_047151.1.12650	NC_047151.1	12650	F	42	78.57	21.43
NC_047151.1.12932	NC_047151.1	12932	F	24	75.00	25.00
NC_047151.1.12985	NC_047151.1	12985	F	39	66.67	33.33
NC_047151.1.13101	NC_047151.1	13101	F	31	22.58	77.42
NC_047151.1.13110	NC_047151.1	13110	F	26	23.08	76.92
NC_047151.1.13132	NC_047151.1	13132	F	32	62.50	37.50
NC_047151.1.132	NC_047151.1	132	F	540	45.19	54.81
NC_047151.1.13213	NC_047151.1	13213	F	21	38.10	61.90
NC_047151.1.13268	NC_047151.1	13268	F	22	90.91	9.09
NC_047151.1.13548	NC_047151.1	13548	F	23	52.17	47.83
NC_047151.1.13603	NC_047151.1	13603	F	27	88.89	11.11
NC_047151.1.1363	NC_047151.1	1363	F	131	29.01	70.99
NC_047151.1.13656	NC_047151.1	13656	F	93	80.65	19.35
NC_047151.1.13771	NC_047151.1	13771	F	185	25.95	74.05
NC_047151.1.13780	NC_047151.1	13780	F	168	38.10	61.90
NC_047151.1.13802	NC_047151.1	13802	F	163	63.19	36.81
NC_047151.1.1387	NC_047151.1	1387	F	130	57.69	42.31
NC_047151.1.13883	NC_047151.1	13883	F	204	52.94	47.06
NC_047151.1.13938	NC_047151.1	13938	F	188	65.96	34.04
NC_047151.1.1394	NC_047151.1	1394	F	128	61.72	38.28
NC_047151.1.13991	NC_047151.1	13991	F	90	70.00	30.00
NC_047151.1.14106	NC_047151.1	14106	F	113	25.66	74.34
NC_047151.1.14130	NC_047151.1	14130	F	125	58.40	41.60
NC_047151.1.14137	NC_047151.1	14137	F	133	66.17	33.83
NC_047151.1.14218	NC_047151.1	14218	F	98	44.90	55.10
NC_047151.1.14273	NC_047151.1	14273	F	20	85.00	15.00
NC_047151.1.14441	NC_047151.1	14441	F	36	33.33	66.67
NC_047151.1.14465	NC_047151.1	14465	F	40	62.50	37.50
NC_047151.1.14472	NC_047151.1	14472	F	43	74.42	25.58
NC_047151.1.14553	NC_047151.1	14553	F	35	51.43	48.57
NC_047151.1.14608	NC_047151.1	14608	F	43	69.77	30.23
NC_047151.1.14661	NC_047151.1	14661	F	62	87.10	12.90
NC_047151.1.1475	NC_047151.1	1475	F	125	58.40	41.60
NC_047151.1.14776	NC_047151.1	14776	F	88	21.59	78.41
NC_047151.1.14800	NC_047151.1	14800	F	83	49.40	50.60
NC_047151.1.14807	NC_047151.1	14807	F	84	64.29	35.71
NC_047151.1.14888	NC_047151.1	14888	F	44	52.27	47.73
NC_047151.1.14943	NC_047151.1	14943	F	26	65.38	34.62
NC_047151.1.14958	NC_047151.1	14958	F	22	68.18	31.82
NC_047151.1.15111	NC_047151.1	15111	F	32	31.25	68.75
NC_047151.1.15135	NC_047151.1	15135	F	36	66.67	33.33
NC_047151.1.15142	NC_047151.1	15142	F	36	83.33	16.67
NC_047151.1.15223	NC_047151.1	15223	F	34	26.47	73.53
NC_047151.1.15278	NC_047151.1	15278	F	66	69.70	30.30
NC_047151.1.1530	NC_047151.1	1530	F	101	73.27	26.73
NC_047151.1.15331	NC_047151.1	15331	F	193	79.27	20.73
NC_047151.1.15446	NC_047151.1	15446	F	494	35.83	64.17
NC_047151.1.15470	NC_047151.1	15470	F	550	60.36	39.64
NC_047151.1.15477	NC_047151.1	15477	F	522	66.86	33.14
NC_047151.1.15558	NC_047151.1	15558	F	333	45.95	54.05
NC_047151.1.15613	NC_047151.1	15613	F	140	62.14	37.86
NC_047151.1.15651	NC_047151.1	15651	F	52	71.15	28.85
NC_047151.1.15666	NC_047151.1	15666	F	32	75.00	25.00
NC_047151.1.1568	NC_047151.1	1568	F	68	69.12	30.88
NC_047151.1.15781	NC_047151.1	15781	F	112	33.04	66.96
NC_047151.1.15805	NC_047151.1	15805	F	145	55.17	44.83
NC_047151.1.15812	NC_047151.1	15812	F	155	69.68	30.32
NC_047151.1.1583	NC_047151.1	1583	F	73	76.71	23.29
NC_047151.1.15893	NC_047151.1	15893	F	184	41.30	58.70
NC_047151.1.15913	NC_047151.1	15913	F	219	26.03	73.97
