chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	5101	47.52	52.48
NC_047151.1.10107	NC_047151.1	10107	F	4085	67.32	32.68
NC_047151.1.10114	NC_047151.1	10114	F	3730	74.48	25.52
NC_047151.1.10195	NC_047151.1	10195	F	728	37.77	62.23
NC_047151.1.10251	NC_047151.1	10251	F	387	63.57	36.43
NC_047151.1.1026	NC_047151.1	1026	F	201	48.26	51.74
NC_047151.1.10304	NC_047151.1	10304	F	442	80.09	19.91
NC_047151.1.10419	NC_047151.1	10419	F	679	44.33	55.67
NC_047151.1.10443	NC_047151.1	10443	F	617	62.24	37.76
NC_047151.1.10450	NC_047151.1	10450	F	603	73.13	26.87
NC_047151.1.1050	NC_047151.1	1050	F	203	68.47	31.53
NC_047151.1.10531	NC_047151.1	10531	F	192	41.15	58.85
NC_047151.1.10550	NC_047151.1	10550	F	61	50.82	49.18
NC_047151.1.1057	NC_047151.1	1057	F	202	75.25	24.75
NC_047151.1.10585	NC_047151.1	10585	F	173	72.83	27.17
NC_047151.1.10638	NC_047151.1	10638	F	479	82.05	17.95
NC_047151.1.10753	NC_047151.1	10753	F	634	41.48	58.52
NC_047151.1.10762	NC_047151.1	10762	F	553	52.08	47.92
NC_047151.1.10784	NC_047151.1	10784	F	484	56.61	43.39
NC_047151.1.10865	NC_047151.1	10865	F	179	45.81	54.19
NC_047151.1.10920	NC_047151.1	10920	F	118	70.34	29.66
NC_047151.1.10974	NC_047151.1	10974	F	69	89.86	10.14
NC_047151.1.11089	NC_047151.1	11089	F	236	50.42	49.58
NC_047151.1.11098	NC_047151.1	11098	F	205	71.22	28.78
NC_047151.1.11120	NC_047151.1	11120	F	316	63.61	36.39
NC_047151.1.11201	NC_047151.1	11201	F	537	51.40	48.60
NC_047151.1.11256	NC_047151.1	11256	F	609	68.97	31.03
NC_047151.1.11309	NC_047151.1	11309	F	578	82.70	17.30
NC_047151.1.1138	NC_047151.1	1138	F	185	43.78	56.22
NC_047151.1.11406	NC_047151.1	11406	F	671	50.07	49.93
NC_047151.1.11424	NC_047151.1	11424	F	752	38.56	61.44
NC_047151.1.11441	NC_047151.1	11441	F	741	74.63	25.37
NC_047151.1.11448	NC_047151.1	11448	F	794	55.04	44.96
NC_047151.1.11455	NC_047151.1	11455	F	799	69.59	30.41
NC_047151.1.11536	NC_047151.1	11536	F	840	40.36	59.64
NC_047151.1.11556	NC_047151.1	11556	F	760	27.37	72.63
NC_047151.1.11591	NC_047151.1	11591	F	635	66.93	33.07
NC_047151.1.11629	NC_047151.1	11629	F	474	66.67	33.33
NC_047151.1.11644	NC_047151.1	11644	F	398	83.42	16.58
NC_047151.1.11760	NC_047151.1	11760	F	287	40.07	59.93
NC_047151.1.11769	NC_047151.1	11769	F	269	49.07	50.93
NC_047151.1.11791	NC_047151.1	11791	F	248	55.24	44.76
NC_047151.1.11872	NC_047151.1	11872	F	87	55.17	44.83
NC_047151.1.11927	NC_047151.1	11927	F	49	79.59	20.41
NC_047151.1.1194	NC_047151.1	1194	F	165	67.88	32.12
NC_047151.1.11980	NC_047151.1	11980	F	47	87.23	12.77
NC_047151.1.12095	NC_047151.1	12095	F	158	53.80	46.20
NC_047151.1.12104	NC_047151.1	12104	F	177	64.41	35.59
NC_047151.1.12126	NC_047151.1	12126	F	215	67.91	32.09
NC_047151.1.12207	NC_047151.1	12207	F	230	39.57	60.43
NC_047151.1.12262	NC_047151.1	12262	F	133	58.65	41.35
NC_047151.1.12300	NC_047151.1	12300	F	95	71.58	28.42
NC_047151.1.12315	NC_047151.1	12315	F	52	69.23	30.77
NC_047151.1.12430	NC_047151.1	12430	F	58	41.38	58.62
NC_047151.1.12454	NC_047151.1	12454	F	63	55.56	44.44
NC_047151.1.12461	NC_047151.1	12461	F	68	63.24	36.76
NC_047151.1.1247	NC_047151.1	1247	F	137	76.64	23.36
NC_047151.1.12542	NC_047151.1	12542	F	27	37.04	62.96
NC_047151.1.12650	NC_047151.1	12650	F	34	76.47	23.53
NC_047151.1.12932	NC_047151.1	12932	F	29	72.41	27.59
NC_047151.1.12985	NC_047151.1	12985	F	33	69.70	30.30
NC_047151.1.13101	NC_047151.1	13101	F	23	30.43	69.57
NC_047151.1.132	NC_047151.1	132	F	511	39.92	60.08
NC_047151.1.13548	NC_047151.1	13548	F	21	23.81	76.19
NC_047151.1.13603	NC_047151.1	13603	F	28	71.43	28.57
NC_047151.1.1363	NC_047151.1	1363	F	88	48.86	51.14
NC_047151.1.13656	NC_047151.1	13656	F	75	85.33	14.67
NC_047151.1.13771	NC_047151.1	13771	F	162	40.74	59.26
NC_047151.1.13780	NC_047151.1	13780	F	153	47.06	52.94
NC_047151.1.13802	NC_047151.1	13802	F	146	59.59	40.41
NC_047151.1.1387	NC_047151.1	1387	F	84	60.71	39.29
NC_047151.1.13883	NC_047151.1	13883	F	165	52.12	47.88
NC_047151.1.13938	NC_047151.1	13938	F	142	68.31	31.69
NC_047151.1.1394	NC_047151.1	1394	F	82	76.83	23.17
NC_047151.1.13991	NC_047151.1	13991	F	60	76.67	23.33
NC_047151.1.14106	NC_047151.1	14106	F	91	39.56	60.44
NC_047151.1.14130	NC_047151.1	14130	F	115	57.39	42.61
NC_047151.1.14137	NC_047151.1	14137	F	116	72.41	27.59
NC_047151.1.14218	NC_047151.1	14218	F	82	47.56	52.44
NC_047151.1.14441	NC_047151.1	14441	F	37	54.05	45.95
NC_047151.1.14465	NC_047151.1	14465	F	45	62.22	37.78
NC_047151.1.14472	NC_047151.1	14472	F	46	65.22	34.78
NC_047151.1.14553	NC_047151.1	14553	F	31	32.26	67.74
NC_047151.1.14608	NC_047151.1	14608	F	43	62.79	37.21
NC_047151.1.14661	NC_047151.1	14661	F	53	88.68	11.32
NC_047151.1.1475	NC_047151.1	1475	F	99	50.51	49.49
NC_047151.1.14776	NC_047151.1	14776	F	32	34.38	65.62
NC_047151.1.14800	NC_047151.1	14800	F	39	53.85	46.15
NC_047151.1.14807	NC_047151.1	14807	F	38	71.05	28.95
NC_047151.1.14888	NC_047151.1	14888	F	23	34.78	65.22
NC_047151.1.15111	NC_047151.1	15111	F	24	41.67	58.33
NC_047151.1.15135	NC_047151.1	15135	F	29	65.52	34.48
NC_047151.1.15142	NC_047151.1	15142	F	30	70.00	30.00
NC_047151.1.15223	NC_047151.1	15223	F	35	28.57	71.43
NC_047151.1.15278	NC_047151.1	15278	F	58	56.90	43.10
NC_047151.1.1530	NC_047151.1	1530	F	85	67.06	32.94
NC_047151.1.15331	NC_047151.1	15331	F	133	84.96	15.04
NC_047151.1.15446	NC_047151.1	15446	F	311	46.95	53.05
NC_047151.1.15470	NC_047151.1	15470	F	370	60.54	39.46
NC_047151.1.15477	NC_047151.1	15477	F	354	67.80	32.20
NC_047151.1.15558	NC_047151.1	15558	F	213	41.78	58.22
NC_047151.1.15613	NC_047151.1	15613	F	93	63.44	36.56
NC_047151.1.15651	NC_047151.1	15651	F	27	74.07	25.93
NC_047151.1.15666	NC_047151.1	15666	F	21	80.95	19.05
NC_047151.1.1568	NC_047151.1	1568	F	67	56.72	43.28
NC_047151.1.15781	NC_047151.1	15781	F	84	52.38	47.62
NC_047151.1.15805	NC_047151.1	15805	F	102	61.76	38.24
NC_047151.1.15812	NC_047151.1	15812	F	110	81.82	18.18
NC_047151.1.1583	NC_047151.1	1583	F	59	81.36	18.64
NC_047151.1.15893	NC_047151.1	15893	F	121	35.54	64.46
NC_047151.1.15913	NC_047151.1	15913	F	146	24.66	75.34
NC_047151.1.15948	NC_047151.1	15948	F	179	64.25	35.75
NC_047151.1.15986	NC_047151.1	15986	F	167	71.26	28.74
NC_047151.1.16001	NC_047151.1	16001	F	162	88.89	11.11
NC_047151.1.16115	NC_047151.1	16115	F	45	37.78	62.22
NC_047151.1.16139	NC_047151.1	16139	F	33	51.52	48.48
NC_047151.1.16146	NC_047151.1	16146	F	32	56.25	43.75
NC_047151.1.1698	NC_047151.1	1698	F	32	53.12	46.88
NC_047151.1.1722	NC_047151.1	1722	F	25	60.00	40.00
NC_047151.1.1729	NC_047151.1	1729	F	27	74.07	25.93
NC_047151.1.1810	NC_047151.1	1810	F	38	57.89	42.11
NC_047151.1.1865	NC_047151.1	1865	F	55	61.82	38.18
NC_047151.1.187	NC_047151.1	187	F	811	63.38	36.62
NC_047151.1.1918	NC_047151.1	1918	F	69	73.91	26.09
NC_047151.1.20	NC_047151.1	20	F	34	50.00	50.00
NC_047151.1.2033	NC_047151.1	2033	F	38	42.11	57.89
NC_047151.1.2057	NC_047151.1	2057	F	26	73.08	26.92
NC_047151.1.2064	NC_047151.1	2064	F	24	75.00	25.00
NC_047151.1.2201	NC_047151.1	2201	F	61	75.41	24.59
NC_047151.1.225	NC_047151.1	225	F	960	84.17	15.83
NC_047151.1.2254	NC_047151.1	2254	F	138	89.13	10.87
NC_047151.1.2369	NC_047151.1	2369	F	80	50.00	50.00
NC_047151.1.2393	NC_047151.1	2393	F	57	64.91	35.09
NC_047151.1.240	NC_047151.1	240	F	884	85.86	14.14
NC_047151.1.2400	NC_047151.1	2400	F	55	78.18	21.82
NC_047151.1.2481	NC_047151.1	2481	F	44	38.64	61.36
NC_047151.1.2537	NC_047151.1	2537	F	512	74.02	25.98
NC_047151.1.2575	NC_047151.1	2575	F	1012	85.97	14.03
NC_047151.1.2590	NC_047151.1	2590	F	931	88.72	11.28
NC_047151.1.2705	NC_047151.1	2705	F	369	49.86	50.14
NC_047151.1.2729	NC_047151.1	2729	F	283	69.26	30.74
NC_047151.1.2736	NC_047151.1	2736	F	280	75.71	24.29
NC_047151.1.2817	NC_047151.1	2817	F	933	44.16	55.84
NC_047151.1.2872	NC_047151.1	2872	F	864	62.96	37.04
NC_047151.1.2925	NC_047151.1	2925	F	677	75.92	24.08
NC_047151.1.3041	NC_047151.1	3041	F	202	41.09	58.91
NC_047151.1.3065	NC_047151.1	3065	F	209	60.77	39.23
NC_047151.1.3072	NC_047151.1	3072	F	193	70.98	29.02
NC_047151.1.3153	NC_047151.1	3153	F	255	43.14	56.86
NC_047151.1.3208	NC_047151.1	3208	F	345	70.14	29.86
NC_047151.1.3246	NC_047151.1	3246	F	413	80.39	19.61
NC_047151.1.3261	NC_047151.1	3261	F	368	83.42	16.58
NC_047151.1.3376	NC_047151.1	3376	F	313	52.40	47.60
NC_047151.1.3400	NC_047151.1	3400	F	309	54.69	45.31
NC_047151.1.3407	NC_047151.1	3407	F	314	68.15	31.85
NC_047151.1.3488	NC_047151.1	3488	F	336	42.26	57.74
NC_047151.1.3543	NC_047151.1	3543	F	312	72.12	27.88
NC_047151.1.356	NC_047151.1	356	F	474	50.21	49.79
NC_047151.1.3581	NC_047151.1	3581	F	314	78.66	21.34
NC_047151.1.3596	NC_047151.1	3596	F	291	82.13	17.87
NC_047151.1.3711	NC_047151.1	3711	F	73	45.21	54.79
NC_047151.1.3735	NC_047151.1	3735	F	40	60.00	40.00
NC_047151.1.3742	NC_047151.1	3742	F	34	67.65	32.35
NC_047151.1.380	NC_047151.1	380	F	377	60.48	39.52
NC_047151.1.3823	NC_047151.1	3823	F	25	48.00	52.00
NC_047151.1.387	NC_047151.1	387	F	356	73.60	26.40
NC_047151.1.3879	NC_047151.1	3879	F	91	69.23	30.77
NC_047151.1.3932	NC_047151.1	3932	F	133	75.19	24.81
NC_047151.1.4047	NC_047151.1	4047	F	119	37.82	62.18
NC_047151.1.4071	NC_047151.1	4071	F	120	66.67	33.33
NC_047151.1.4078	NC_047151.1	4078	F	120	76.67	23.33
NC_047151.1.4159	NC_047151.1	4159	F	267	48.31	51.69
NC_047151.1.4179	NC_047151.1	4179	F	244	47.54	52.46
NC_047151.1.4214	NC_047151.1	4214	F	342	69.88	30.12
NC_047151.1.4267	NC_047151.1	4267	F	386	60.36	39.64
NC_047151.1.4382	NC_047151.1	4382	F	327	44.95	55.05
NC_047151.1.44	NC_047151.1	44	F	92	54.35	45.65
NC_047151.1.4406	NC_047151.1	4406	F	275	59.27	40.73
NC_047151.1.4413	NC_047151.1	4413	F	262	70.99	29.01
NC_047151.1.4494	NC_047151.1	4494	F	118	49.15	50.85
NC_047151.1.4549	NC_047151.1	4549	F	65	64.62	35.38
NC_047151.1.4587	NC_047151.1	4587	F	71	67.61	32.39
NC_047151.1.4602	NC_047151.1	4602	F	91	92.31	7.69
NC_047151.1.468	NC_047151.1	468	F	396	39.39	60.61
NC_047151.1.4717	NC_047151.1	4717	F	106	52.83	47.17
NC_047151.1.4741	NC_047151.1	4741	F	80	66.25	33.75
NC_047151.1.4748	NC_047151.1	4748	F	81	76.54	23.46
NC_047151.1.4829	NC_047151.1	4829	F	120	44.17	55.83
NC_047151.1.488	NC_047151.1	488	F	384	30.73	69.27
NC_047151.1.4884	NC_047151.1	4884	F	148	66.22	33.78
NC_047151.1.4937	NC_047151.1	4937	F	124	83.87	16.13
NC_047151.1.5052	NC_047151.1	5052	F	144	38.89	61.11
NC_047151.1.5076	NC_047151.1	5076	F	123	72.36	27.64
NC_047151.1.5083	NC_047151.1	5083	F	120	74.17	25.83
NC_047151.1.51	NC_047151.1	51	F	97	63.92	36.08
NC_047151.1.5164	NC_047151.1	5164	F	84	44.05	55.95
