chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	10352	27.13	72.87
NC_047151.1.10107	NC_047151.1	10107	F	8031	57.13	42.87
NC_047151.1.10114	NC_047151.1	10114	F	7501	64.48	35.52
NC_047151.1.10195	NC_047151.1	10195	F	1285	38.05	61.95
NC_047151.1.10251	NC_047151.1	10251	F	677	61.89	38.11
NC_047151.1.1026	NC_047151.1	1026	F	387	26.61	73.39
NC_047151.1.10304	NC_047151.1	10304	F	787	79.80	20.20
NC_047151.1.10419	NC_047151.1	10419	F	1121	22.12	77.88
NC_047151.1.10443	NC_047151.1	10443	F	978	51.84	48.16
NC_047151.1.10450	NC_047151.1	10450	F	964	59.96	40.04
NC_047151.1.1050	NC_047151.1	1050	F	359	54.04	45.96
NC_047151.1.10531	NC_047151.1	10531	F	279	48.39	51.61
NC_047151.1.10550	NC_047151.1	10550	F	118	30.51	69.49
NC_047151.1.1057	NC_047151.1	1057	F	358	62.85	37.15
NC_047151.1.10585	NC_047151.1	10585	F	436	63.76	36.24
NC_047151.1.10638	NC_047151.1	10638	F	901	83.57	16.43
NC_047151.1.10753	NC_047151.1	10753	F	1042	17.18	82.82
NC_047151.1.10762	NC_047151.1	10762	F	891	24.92	75.08
NC_047151.1.10784	NC_047151.1	10784	F	768	49.48	50.52
NC_047151.1.10865	NC_047151.1	10865	F	306	50.98	49.02
NC_047151.1.10920	NC_047151.1	10920	F	213	68.08	31.92
NC_047151.1.10974	NC_047151.1	10974	F	116	84.48	15.52
NC_047151.1.11089	NC_047151.1	11089	F	399	27.82	72.18
NC_047151.1.11098	NC_047151.1	11098	F	348	36.78	63.22
NC_047151.1.11120	NC_047151.1	11120	F	536	55.04	44.96
NC_047151.1.11201	NC_047151.1	11201	F	1122	55.97	44.03
NC_047151.1.11256	NC_047151.1	11256	F	1294	63.52	36.48
NC_047151.1.11309	NC_047151.1	11309	F	1191	84.89	15.11
NC_047151.1.1138	NC_047151.1	1138	F	414	43.00	57.00
NC_047151.1.11406	NC_047151.1	11406	F	1463	38.69	61.31
NC_047151.1.11424	NC_047151.1	11424	F	1647	19.00	81.00
NC_047151.1.11441	NC_047151.1	11441	F	1567	44.99	55.01
NC_047151.1.11448	NC_047151.1	11448	F	1742	43.11	56.89
NC_047151.1.11455	NC_047151.1	11455	F	1710	51.35	48.65
NC_047151.1.11536	NC_047151.1	11536	F	1716	42.31	57.69
NC_047151.1.11556	NC_047151.1	11556	F	1572	21.76	78.24
NC_047151.1.11591	NC_047151.1	11591	F	1362	62.85	37.15
NC_047151.1.11629	NC_047151.1	11629	F	1032	63.95	36.05
NC_047151.1.11644	NC_047151.1	11644	F	809	81.71	18.29
NC_047151.1.11760	NC_047151.1	11760	F	592	21.96	78.04
NC_047151.1.11769	NC_047151.1	11769	F	523	24.47	75.53
NC_047151.1.11791	NC_047151.1	11791	F	526	48.10	51.90
NC_047151.1.11872	NC_047151.1	11872	F	153	44.44	55.56
NC_047151.1.11927	NC_047151.1	11927	F	76	67.11	32.89
