chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	7608	27.80	72.20
NC_047151.1.10107	NC_047151.1	10107	F	5934	60.82	39.18
NC_047151.1.10114	NC_047151.1	10114	F	5525	67.13	32.87
NC_047151.1.10195	NC_047151.1	10195	F	975	38.67	61.33
NC_047151.1.10251	NC_047151.1	10251	F	594	59.43	40.57
NC_047151.1.1026	NC_047151.1	1026	F	361	28.25	71.75
NC_047151.1.10304	NC_047151.1	10304	F	643	75.43	24.57
NC_047151.1.10419	NC_047151.1	10419	F	978	25.56	74.44
NC_047151.1.10443	NC_047151.1	10443	F	891	55.89	44.11
NC_047151.1.10450	NC_047151.1	10450	F	863	64.19	35.81
NC_047151.1.1050	NC_047151.1	1050	F	358	60.61	39.39
NC_047151.1.10531	NC_047151.1	10531	F	222	45.50	54.50
NC_047151.1.10550	NC_047151.1	10550	F	101	32.67	67.33
NC_047151.1.1057	NC_047151.1	1057	F	377	63.93	36.07
NC_047151.1.10585	NC_047151.1	10585	F	312	63.46	36.54
NC_047151.1.10638	NC_047151.1	10638	F	787	79.29	20.71
NC_047151.1.10753	NC_047151.1	10753	F	971	18.74	81.26
NC_047151.1.10762	NC_047151.1	10762	F	823	25.64	74.36
NC_047151.1.10784	NC_047151.1	10784	F	714	55.88	44.12
NC_047151.1.10865	NC_047151.1	10865	F	317	49.84	50.16
NC_047151.1.10920	NC_047151.1	10920	F	217	62.67	37.33
NC_047151.1.10974	NC_047151.1	10974	F	122	77.87	22.13
NC_047151.1.11089	NC_047151.1	11089	F	401	38.40	61.60
NC_047151.1.11098	NC_047151.1	11098	F	363	46.01	53.99
NC_047151.1.11120	NC_047151.1	11120	F	478	54.81	45.19
NC_047151.1.11201	NC_047151.1	11201	F	1042	58.35	41.65
NC_047151.1.11256	NC_047151.1	11256	F	1197	64.08	35.92
NC_047151.1.11309	NC_047151.1	11309	F	1116	84.32	15.68
NC_047151.1.1138	NC_047151.1	1138	F	470	39.36	60.64
NC_047151.1.11406	NC_047151.1	11406	F	1258	37.68	62.32
NC_047151.1.11424	NC_047151.1	11424	F	1364	18.91	81.09
NC_047151.1.11441	NC_047151.1	11441	F	1291	49.26	50.74
NC_047151.1.11448	NC_047151.1	11448	F	1449	45.96	54.04
NC_047151.1.11455	NC_047151.1	11455	F	1423	54.11	45.89
NC_047151.1.11536	NC_047151.1	11536	F	1464	45.08	54.92
NC_047151.1.11556	NC_047151.1	11556	F	1351	23.61	76.39
NC_047151.1.11591	NC_047151.1	11591	F	1144	65.03	34.97
NC_047151.1.11629	NC_047151.1	11629	F	839	62.46	37.54
NC_047151.1.11644	NC_047151.1	11644	F	669	78.03	21.97
NC_047151.1.11760	NC_047151.1	11760	F	463	20.73	79.27
NC_047151.1.11769	NC_047151.1	11769	F	439	25.06	74.94
NC_047151.1.11791	NC_047151.1	11791	F	413	48.43	51.57
NC_047151.1.11872	NC_047151.1	11872	F	129	51.16	48.84
NC_047151.1.11927	NC_047151.1	11927	F	47	68.09	31.91
NC_047151.1.1194	NC_047151.1	1194	F	434	63.59	36.41
NC_047151.1.11980	NC_047151.1	11980	F	62	85.48	14.52
NC_047151.1.12095	NC_047151.1	12095	F	290	40.34	59.66
NC_047151.1.12104	NC_047151.1	12104	F	330	43.94	56.06
NC_047151.1.12126	NC_047151.1	12126	F	382	64.66	35.34
NC_047151.1.12207	NC_047151.1	12207	F	432	43.29	56.71
NC_047151.1.12262	NC_047151.1	12262	F	239	57.74	42.26
NC_047151.1.12300	NC_047151.1	12300	F	174	62.07	37.93
NC_047151.1.12315	NC_047151.1	12315	F	106	70.75	29.25
NC_047151.1.12430	NC_047151.1	12430	F	93	22.58	77.42
NC_047151.1.12454	NC_047151.1	12454	F	111	47.75	52.25
NC_047151.1.12461	NC_047151.1	12461	F	110	60.00	40.00
NC_047151.1.1247	NC_047151.1	1247	F	333	75.68	24.32
NC_047151.1.12542	NC_047151.1	12542	F	54	51.85	48.15
NC_047151.1.12597	NC_047151.1	12597	F	27	77.78	22.22
NC_047151.1.12650	NC_047151.1	12650	F	41	90.24	9.76
NC_047151.1.12765	NC_047151.1	12765	F	23	26.09	73.91
NC_047151.1.12932	NC_047151.1	12932	F	24	70.83	29.17
NC_047151.1.12985	NC_047151.1	12985	F	34	76.47	23.53
NC_047151.1.13101	NC_047151.1	13101	F	48	10.42	89.58
NC_047151.1.13110	NC_047151.1	13110	F	44	18.18	81.82
NC_047151.1.13132	NC_047151.1	13132	F	36	58.33	41.67
NC_047151.1.132	NC_047151.1	132	F	677	41.36	58.64
NC_047151.1.13548	NC_047151.1	13548	F	38	36.84	63.16
NC_047151.1.13603	NC_047151.1	13603	F	48	66.67	33.33
NC_047151.1.1363	NC_047151.1	1363	F	152	19.08	80.92
NC_047151.1.13656	NC_047151.1	13656	F	128	83.59	16.41
NC_047151.1.13771	NC_047151.1	13771	F	252	20.24	79.76
NC_047151.1.13780	NC_047151.1	13780	F	240	29.58	70.42
NC_047151.1.13802	NC_047151.1	13802	F	224	52.68	47.32
NC_047151.1.1387	NC_047151.1	1387	F	137	51.09	48.91
NC_047151.1.13883	NC_047151.1	13883	F	283	60.07	39.93
NC_047151.1.13938	NC_047151.1	13938	F	239	63.18	36.82
NC_047151.1.1394	NC_047151.1	1394	F	144	61.11	38.89
NC_047151.1.13991	NC_047151.1	13991	F	134	73.13	26.87
NC_047151.1.14106	NC_047151.1	14106	F	145	22.07	77.93
NC_047151.1.14130	NC_047151.1	14130	F	183	43.17	56.83
NC_047151.1.14137	NC_047151.1	14137	F	174	59.20	40.80
NC_047151.1.14218	NC_047151.1	14218	F	137	52.55	47.45
NC_047151.1.14273	NC_047151.1	14273	F	29	72.41	27.59
NC_047151.1.14326	NC_047151.1	14326	F	20	85.00	15.00
NC_047151.1.14441	NC_047151.1	14441	F	51	11.76	88.24
NC_047151.1.14465	NC_047151.1	14465	F	59	49.15	50.85
NC_047151.1.14472	NC_047151.1	14472	F	61	67.21	32.79
NC_047151.1.14553	NC_047151.1	14553	F	43	20.93	79.07
NC_047151.1.14608	NC_047151.1	14608	F	67	68.66	31.34
NC_047151.1.14661	NC_047151.1	14661	F	67	79.10	20.90
NC_047151.1.1475	NC_047151.1	1475	F	119	49.58	50.42
NC_047151.1.14776	NC_047151.1	14776	F	90	12.22	87.78
NC_047151.1.14800	NC_047151.1	14800	F	83	54.22	45.78
NC_047151.1.14807	NC_047151.1	14807	F	76	60.53	39.47
NC_047151.1.14888	NC_047151.1	14888	F	46	50.00	50.00
NC_047151.1.15111	NC_047151.1	15111	F	38	18.42	81.58
NC_047151.1.15135	NC_047151.1	15135	F	33	45.45	54.55
NC_047151.1.15142	NC_047151.1	15142	F	35	57.14	42.86
NC_047151.1.15223	NC_047151.1	15223	F	32	21.88	78.12
NC_047151.1.15278	NC_047151.1	15278	F	76	65.79	34.21
NC_047151.1.1530	NC_047151.1	1530	F	92	60.87	39.13
NC_047151.1.15331	NC_047151.1	15331	F	202	88.12	11.88
NC_047151.1.15446	NC_047151.1	15446	F	587	24.19	75.81
NC_047151.1.15470	NC_047151.1	15470	F	646	52.32	47.68
NC_047151.1.15477	NC_047151.1	15477	F	640	60.16	39.84
NC_047151.1.15558	NC_047151.1	15558	F	373	43.16	56.84
NC_047151.1.15613	NC_047151.1	15613	F	169	60.95	39.05
NC_047151.1.15651	NC_047151.1	15651	F	61	65.57	34.43
NC_047151.1.15666	NC_047151.1	15666	F	46	78.26	21.74
NC_047151.1.1568	NC_047151.1	1568	F	89	57.30	42.70
NC_047151.1.15781	NC_047151.1	15781	F	134	17.91	82.09
NC_047151.1.15805	NC_047151.1	15805	F	152	49.34	50.66
NC_047151.1.15812	NC_047151.1	15812	F	163	58.90	41.10
NC_047151.1.1583	NC_047151.1	1583	F	84	80.95	19.05
NC_047151.1.15893	NC_047151.1	15893	F	196	43.37	56.63
NC_047151.1.15913	NC_047151.1	15913	F	227	20.70	79.30
NC_047151.1.15948	NC_047151.1	15948	F	250	58.00	42.00
NC_047151.1.15986	NC_047151.1	15986	F	236	68.22	31.78
NC_047151.1.16001	NC_047151.1	16001	F	218	86.70	13.30
NC_047151.1.16115	NC_047151.1	16115	F	87	17.24	82.76
NC_047151.1.16139	NC_047151.1	16139	F	60	43.33	56.67
