chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	10810	33.88	66.12
NC_047151.1.10107	NC_047151.1	10107	F	8276	59.26	40.74
NC_047151.1.10114	NC_047151.1	10114	F	7727	65.77	34.23
NC_047151.1.10195	NC_047151.1	10195	F	1381	38.38	61.62
NC_047151.1.10251	NC_047151.1	10251	F	661	62.63	37.37
NC_047151.1.1026	NC_047151.1	1026	F	413	32.69	67.31
NC_047151.1.10304	NC_047151.1	10304	F	720	75.83	24.17
NC_047151.1.10419	NC_047151.1	10419	F	1157	27.48	72.52
NC_047151.1.10443	NC_047151.1	10443	F	1072	53.54	46.46
NC_047151.1.10450	NC_047151.1	10450	F	1011	64.00	36.00
NC_047151.1.1050	NC_047151.1	1050	F	393	57.51	42.49
NC_047151.1.10531	NC_047151.1	10531	F	362	47.51	52.49
NC_047151.1.10550	NC_047151.1	10550	F	147	40.14	59.86
NC_047151.1.1057	NC_047151.1	1057	F	381	69.03	30.97
NC_047151.1.10585	NC_047151.1	10585	F	449	63.47	36.53
NC_047151.1.10638	NC_047151.1	10638	F	994	80.18	19.82
NC_047151.1.10753	NC_047151.1	10753	F	1109	21.73	78.27
NC_047151.1.10762	NC_047151.1	10762	F	944	31.14	68.86
NC_047151.1.10784	NC_047151.1	10784	F	797	50.94	49.06
NC_047151.1.10865	NC_047151.1	10865	F	383	47.52	52.48
NC_047151.1.10920	NC_047151.1	10920	F	248	66.13	33.87
NC_047151.1.10974	NC_047151.1	10974	F	129	75.97	24.03
NC_047151.1.11089	NC_047151.1	11089	F	368	35.33	64.67
NC_047151.1.11098	NC_047151.1	11098	F	353	46.46	53.54
NC_047151.1.11120	NC_047151.1	11120	F	562	60.85	39.15
NC_047151.1.11201	NC_047151.1	11201	F	1263	52.89	47.11
NC_047151.1.11256	NC_047151.1	11256	F	1468	65.53	34.47
NC_047151.1.11309	NC_047151.1	11309	F	1396	84.38	15.62
NC_047151.1.1138	NC_047151.1	1138	F	482	41.49	58.51
NC_047151.1.11406	NC_047151.1	11406	F	1638	42.55	57.45
NC_047151.1.11424	NC_047151.1	11424	F	1764	23.24	76.76
NC_047151.1.11441	NC_047151.1	11441	F	1725	52.12	47.88
NC_047151.1.11448	NC_047151.1	11448	F	1880	47.29	52.71
NC_047151.1.11455	NC_047151.1	11455	F	1851	55.92	44.08
NC_047151.1.11536	NC_047151.1	11536	F	1891	39.19	60.81
NC_047151.1.11556	NC_047151.1	11556	F	1699	22.07	77.93
NC_047151.1.11591	NC_047151.1	11591	F	1441	65.16	34.84
NC_047151.1.11629	NC_047151.1	11629	F	1137	62.27	37.73
NC_047151.1.11644	NC_047151.1	11644	F	931	78.52	21.48
NC_047151.1.11760	NC_047151.1	11760	F	627	27.43	72.57
NC_047151.1.11769	NC_047151.1	11769	F	555	30.81	69.19
NC_047151.1.11791	NC_047151.1	11791	F	516	55.04	44.96
NC_047151.1.11872	NC_047151.1	11872	F	167	49.10	50.90
NC_047151.1.11927	NC_047151.1	11927	F	72	72.22	27.78
