chrBase	chr	base	strand	coverage	freqC	freqT
NC_047151.1.10083	NC_047151.1	10083	F	10251	27.79	72.21
NC_047151.1.10107	NC_047151.1	10107	F	7912	54.98	45.02
NC_047151.1.10114	NC_047151.1	10114	F	7367	62.73	37.27
NC_047151.1.10195	NC_047151.1	10195	F	1366	34.55	65.45
NC_047151.1.10251	NC_047151.1	10251	F	671	60.95	39.05
NC_047151.1.1026	NC_047151.1	1026	F	393	30.28	69.72
NC_047151.1.10304	NC_047151.1	10304	F	743	75.91	24.09
NC_047151.1.10419	NC_047151.1	10419	F	1057	22.99	77.01
NC_047151.1.10443	NC_047151.1	10443	F	953	49.74	50.26
NC_047151.1.10450	NC_047151.1	10450	F	908	60.24	39.76
NC_047151.1.1050	NC_047151.1	1050	F	402	51.99	48.01
NC_047151.1.10531	NC_047151.1	10531	F	278	37.41	62.59
NC_047151.1.10550	NC_047151.1	10550	F	106	31.13	68.87
NC_047151.1.1057	NC_047151.1	1057	F	414	61.35	38.65
NC_047151.1.10585	NC_047151.1	10585	F	400	64.75	35.25
NC_047151.1.10638	NC_047151.1	10638	F	926	80.99	19.01
NC_047151.1.10753	NC_047151.1	10753	F	985	18.07	81.93
NC_047151.1.10762	NC_047151.1	10762	F	824	23.91	76.09
NC_047151.1.10784	NC_047151.1	10784	F	694	47.12	52.88
NC_047151.1.10865	NC_047151.1	10865	F	355	44.51	55.49
NC_047151.1.10920	NC_047151.1	10920	F	245	60.41	39.59
NC_047151.1.10974	NC_047151.1	10974	F	123	83.74	16.26
NC_047151.1.11089	NC_047151.1	11089	F	325	24.92	75.08
NC_047151.1.11098	NC_047151.1	11098	F	343	34.99	65.01
NC_047151.1.11120	NC_047151.1	11120	F	496	57.26	42.74
NC_047151.1.11201	NC_047151.1	11201	F	1281	51.13	48.87
NC_047151.1.11256	NC_047151.1	11256	F	1574	64.74	35.26
NC_047151.1.11309	NC_047151.1	11309	F	1499	83.46	16.54
NC_047151.1.1138	NC_047151.1	1138	F	479	34.66	65.34
NC_047151.1.11406	NC_047151.1	11406	F	1627	38.41	61.59
NC_047151.1.11424	NC_047151.1	11424	F	1767	19.58	80.42
NC_047151.1.11441	NC_047151.1	11441	F	1704	46.71	53.29
NC_047151.1.11448	NC_047151.1	11448	F	1858	41.07	58.93
NC_047151.1.11455	NC_047151.1	11455	F	1818	49.01	50.99
NC_047151.1.11536	NC_047151.1	11536	F	1784	37.50	62.50
NC_047151.1.11556	NC_047151.1	11556	F	1601	21.24	78.76
NC_047151.1.11591	NC_047151.1	11591	F	1342	66.77	33.23
NC_047151.1.11629	NC_047151.1	11629	F	967	63.70	36.30
NC_047151.1.11644	NC_047151.1	11644	F	789	83.40	16.60
NC_047151.1.11760	NC_047151.1	11760	F	533	21.20	78.80
NC_047151.1.11769	NC_047151.1	11769	F	481	21.00	79.00
NC_047151.1.11791	NC_047151.1	11791	F	464	44.40	55.60
NC_047151.1.11872	NC_047151.1	11872	F	142	48.59	51.41
NC_047151.1.11927	NC_047151.1	11927	F	75	73.33	26.67
NC_047151.1.1194	NC_047151.1	1194	F	432	59.72	40.28
