NAME,LENGTH,avgBENT,medBENT,avgBET,medBET,avgT,medT,avgNT,medNT
NC_047151.1:1-19065,19064,374.465831772015,330,374.465831772015,330,578.148210235677,507,578.148210235677,507
NC_047151.1:10143-20143,10000,65.7403,36,65.7403,36,103.4145,58,103.4145,58
NC_047153.1:32658347-32668347,10000,5.71310507674144,2,5.71310507674144,2,12.4132231404959,3,12.4132231404959,3
NC_047153.1:32660889-32670889,10000,141.5219,148,141.5219,148,210.5527,224,210.5527,224
NC_047153.1:32661020-32671020,10000,113.12213740458,114,113.12213740458,114,181.81679389313,182,181.81679389313,182
NC_047155.1:30743381-30753382,10001,72.4607539246075,45,72.4607539246075,45,112.938906109389,71,112.938906109389,71
NC_047159.1:29158209-29168210,10001,91.3158684131587,79,91.3158684131587,79,148.322867713229,121,148.322867713229,121
NC_047161.1:22173599-22183599,10000,21.8188140556369,8,21.8188140556369,8,33.8479136163982,10,33.8479136163982,10
NC_047161.1:22179064-22189064,10000,33.5665,35,33.5665,35,55.5052,53,55.5052,53
NC_047163.1:29064978-29074978,10000,71.6816,72,71.6816,72,105.9812,106,105.9812,106
NC_047164.1:24796420-24806420,10000,4.1043104310431,3,4.1043104310431,3,5.66566656665667,4,5.66566656665667,4
NC_047165.1:903834-913834,10000,251.762376237624,270,251.762376237624,270,463.301730173017,497,463.301730173017,497
NC_047167.1:11010433-11020433,10000,179.558055805581,9,179.558055805581,9,346.588558855886,18,346.588558855886,18
NC_047168.1:475431-485431,10000,8.75287528752875,5,8.75287528752875,5,13.5611561156116,8,13.5611561156116,8
NC_047171.1:25035377-25045377,10000,28.5787,4,28.5787,4,54.3912,6,54.3912,6
NC_047172.1:24799623-24809623,10000,33.4473447344734,28,33.4473447344734,28,55.5071507150715,51,55.5071507150715,51
NC_047172.1:24895667-26290161,1394494,19.2349,10,19.2349,10,28.4439,16,28.4439,16
NC_047172.1:26289743-26299743,10000,45.2662397072278,44,45.2662397072278,44,58.5343092406221,57,58.5343092406221,57
NC_047172.1:26291254-26301255,10001,80.6947239263804,8,80.6947239263804,8,126.36736196319,12,126.36736196319,12
NC_047172.1:26295329-26305329,10000,39.8602,41,39.8602,41,56.3744,56,56.3744,56
NC_047172.1:26295713-26305713,10000,60.4947916666667,59,60.4947916666667,59,86.6354166666667,83.5,86.6354166666667,83.5
NC_047174.1:21415488-21435488,20000,23.3097563917028,19,23.3097563917028,19,37.1333815726001,30,37.1333815726001,30
NA,NA,36.7697216430946,4,36.7697216430946,4,67.1265988617795,6,67.1265988617795,6
