CHROM MapInfo
NC_047151.1 45
NC_047151.1 51
NC_047151.1 4742
NC_047151.1 5724
NC_047151.1 6425
NC_047151.1 6754
NC_047151.1 7401
NC_047151.1 8106
NC_047151.1 9078
NC_047151.1 9109
NC_047151.1 10551
NC_047151.1 10551
NC_047151.1 11120
NC_047151.1 14473
NC_047151.1 15136
NC_047151.1 15143
NC_047151.1 15471
NC_047153.1 32663340
NC_047153.1 32663347
NC_047153.1 32663683
NC_047153.1 32664060
NC_047153.1 32666785
NC_047153.1 32667718
NC_047153.1 32668700
NC_047153.1 32669737
NC_047153.1 32669800
NC_047153.1 32671095
NC_047155.1 30744495
NC_047155.1 30745713
NC_047155.1 30745720
NC_047155.1 30745807
NC_047155.1 30747359
NC_047155.1 30747622
NC_047155.1 30749276
NC_047155.1 30750956
NC_047159.1 29162690
NC_047159.1 29163394
NC_047159.1 29163729
NC_047159.1 29165067
NC_047159.1 29165076
NC_047159.1 29166055
NC_047161.1 22178599
NC_047161.1 22184064
NC_047163.1 21495116
NC_047163.1 29066999
NC_047163.1 29069978
NC_047163.1 29070020
NC_047164.1 24801420
NC_047165.1 908834
NC_047165.1 912025
NC_047165.1 15411811
NC_047165.1 15411905
NC_047165.1 15412284
NC_047167.1 11015433
NC_047168.1 480431
NC_047171.1 15408567
NC_047171.1 15409282
NC_047171.1 15409738
NC_047171.1 25040373
NC_047171.1 25040377
NC_047171.1 25040474
NC_047171.1 25040623
NC_047172.1 24804623
NC_047172.1 24835778
NC_047172.1 24895667
NC_047172.1 26290161
NC_047172.1 26290162
NC_047172.1 26299324
NC_047172.1 26300329
NC_047172.1 26300378
NC_047172.1 26301048
NC_047172.1 26302348
NC_047172.1 26305026
NC_047172.1 26306357
NC_047172.1 26306698
NC_047172.1 26307362
NC_047172.1 26309369
NC_047172.1 26311042
NC_047172.1 26311377
NC_047174.1 21423903
NC_047174.1 21427009
NC_047174.1 21429982
NC_047174.1 21430656
NC_047174.1 21431627
NC_047174.1 21434992
NC_047174.1 21435011
NC_047174.1 21435055
NC_047174.1 21435056
NC_047158.1 6135193
NC_047158.1 6135195
NC_047158.1 6135484
NC_047158.1 6214996
NC_047158.1 6230400
NC_047158.1 6257788
NC_047158.1 6257897
NC_047158.1 6257973
NC_047158.1 6258221
NC_047158.1 6479857
NC_047158.1 6557490
NC_047158.1 6617342
NC_047158.1 6623360
NC_047158.1 6669825
NC_047158.1 6715570
NC_047158.1 6719364
NC_047158.1 6719426
NC_047158.1 6740298
NC_047158.1 6788260
NC_047158.1 6812217
NC_047158.1 6997104
NC_047158.1 6997175
NC_047158.1 7059856
NC_047158.1 7059859
NC_047158.1 7059918
NC_047158.1 7063828
NC_047158.1 7109730
NC_047158.1 7116876
NC_047158.1 7116982
NC_047158.1 7157822
NC_047158.1 7157961
NC_047158.1 7158031
NC_047158.1 7158090
NC_047158.1 7187073
NC_047158.1 7187157
NC_047158.1 7187208
NC_047158.1 7187283
NC_047158.1 7187295
NC_047158.1 7230500
NC_047158.1 7230525
NC_047158.1 7265065
NC_047158.1 7271300
NC_047158.1 7376589
NC_047158.1 7376621
NC_047158.1 7426162
NC_047158.1 7510349
NC_047158.1 7510521
NC_047158.1 7521264
NC_047158.1 7579981
NC_047158.1 7580156
NC_047158.1 7580202
NC_047158.1 7616406
NC_047158.1 7616827
NC_047158.1 7656460
NC_047158.1 7656485
NC_047158.1 7660175
NC_047158.1 7702696
NC_047158.1 7702979
NC_047158.1 7832562
NC_047158.1 7891693
NC_047158.1 7895224
NC_047158.1 7908534
NC_047158.1 7908765
NC_047158.1 7908827
NC_047158.1 7953313
NC_047158.1 7983901
NC_047158.1 7983954
NC_047158.1 8002995
NC_047158.1 8092158
NC_047158.1 8129333
NC_047158.1 8129723
NC_047158.1 8143292
NC_047158.1 8204059
NC_047158.1 8204093
NC_047158.1 8270067
NC_047158.1 8270254
NC_047158.1 8270265
NC_047158.1 8423304
NC_047158.1 8423544
NC_047158.1 8431283
NC_047158.1 8447994
NC_047158.1 8448201
NC_047158.1 8534151
NC_047158.1 8534152
NC_047158.1 8537956
NC_047158.1 8660379
NC_047158.1 8660403
NC_047158.1 8660642
NC_047158.1 8660852
NC_047158.1 8675466
NC_047158.1 8711744
NC_047158.1 8742273
NC_047158.1 8800895
NC_047158.1 8840427
NC_047158.1 8907339
NC_047158.1 8907414
NC_047158.1 8987698
NC_047158.1 8987911
NC_047158.1 9015054
NC_047158.1 9097966
NC_047158.1 9097979
NC_047158.1 9098179
NC_047158.1 9161564
NC_047158.1 9161933
NC_047158.1 9230390
NC_047158.1 9271713
NC_047158.1 9361727
NC_047158.1 9369240
NC_047158.1 9369463
NC_047158.1 9369575
NC_047158.1 9369611
