REGION1	1	12982562	12983562	2
REGION2	1	18696900	18699838	57
REGION3	1	18701829	18704204	74
REGION4	1	20	16147	562
REGION5	1	23006	24005	7
REGION6	1	25964	26964	36
REGION7	1	29264993	29265993	27
REGION8	1	3855903	3856904	3
REGION9	1	9123824	9131233	136
REGION10	1	935933	936934	117.5
REGION11	1	938051	939051	6
REGION12	2	11115	12115	23
REGION13	2	1683567	1684566	19
REGION14	2	1685621	1687099	23
REGION15	2	1689190	1690191	10
REGION16	2	1693051	1694050	21
REGION17	2	50	8944	345
REGION18	3	27245792	27246792	10
REGION19	3	31186252	31187253	4
REGION20	3	32322299	32323299	11
REGION21	3	32385199	32386199	3
REGION22	3	32447946	32448946	2
REGION23	3	32660807	32675551	306
REGION24	4	2064303	2065304	98
REGION25	4	23460910	23461909	18
REGION26	4	24347418	24348418	187
REGION27	4	24347690	24348690	232
REGION28	4	24351651	24352651	208
REGION29	4	471500	472499	3
REGION30	4	7741712	7743916	96
REGION31	5	1485789	1486790	12
REGION32	5	18988294	18989294	10
REGION33	5	24551814	24552814	5
REGION34	5	24551887	24552888	16
REGION35	5	24554035	24555036	29
REGION36	5	24555430	24556429	31
REGION37	5	24556739	24557739	35
REGION38	5	24635749	24636748	18
REGION39	5	30740013	30741013	16
REGION40	5	30740563	30741966	13
REGION41	5	30743538	30753203	101
REGION42	6	19082	20082	19
REGION43	6	20768932	20769932	2
REGION44	6	24552679	24553678	53
REGION45	6	27111732	27112732	7
REGION46	6	27114892	27115893	25
REGION47	6	27116509	27117508	24
REGION48	6	27122097	27123097	11
REGION49	6	27122343	27123343	60
REGION50	6	27127003	27130842	74
REGION51	6	27148450	27149450	286
REGION52	6	27657823	27658824	18.5
REGION53	6	8561040	8562039	7
REGION54	7	1784923	1785923	8
REGION55	7	1787328	1788328	16
REGION56	7	1788626	1789626	10
REGION57	7	18583	21182	59
REGION58	7	2185	3185	28
REGION59	7	23866	24865	14
REGION60	7	27300389	27301389	24
REGION61	7	3232406	3233405	1
REGION62	7	48124	49125	0
REGION63	7	602887	609606	193
REGION64	8	122	1123	8
REGION65	8	14424	17672	74
REGION66	8	1485475	1486475	61
REGION67	8	1490752	1491752	23
REGION68	8	14973175	14980400	1714
REGION69	8	14984970	14985970	28
REGION70	8	16605467	16606725	43
REGION71	8	16608245	16609245	21
REGION72	8	16612054	16613054	22
REGION73	8	2079922	2080923	32
REGION74	8	2091610	2092610	28
REGION75	8	2091938	2092938	45
REGION76	8	2094948	2095949	75
REGION77	8	2096352	2097351	42
REGION78	8	2097970	2098970	36
REGION79	8	2278455	2279455	4
REGION80	8	24643	26091	65
REGION81	8	29966	30966	3
REGION82	8	30827	31826	3
REGION83	8	34203	35203	9
REGION84	8	3452	12414	143
REGION85	8	4000000	13000000	4
REGION86	8	891081	892080	3
REGION87	9	18061485	18064098	1292
REGION88	9	19559437	19560436	3
REGION89	9	22822581	22823580	2
REGION90	9	22856639	22857639	2
REGION91	9	26169117	26170117	14
REGION92	9	28886468	28887468	2
REGION93	9	28886641	28887641	9
REGION94	9	28890807	28891806	4
REGION95	9	29159003	29170781	338
REGION96	10	22029841	22030840	3
REGION97	10	230346	231347	15
REGION98	10	521	1521	167
REGION99	10	5400429	5401429	3
REGION100	10	5649786	5650786	2
REGION101	10	5650172	5651172	68
REGION102	10	5652479	5653479	57
REGION103	10	5654212	5655212	24
REGION104	10	5658190	5659268	32
REGION105	10	5660712	5661712	19
REGION106	10	5662100	5663100	32
REGION107	10	5668639	5669638	16
REGION108	10	5915323	5916461	377
REGION109	11	22138326	22139326	4
REGION110	11	22170368	22171368	39
REGION111	11	22172854	22173853	16
REGION112	11	22177638	22187131	134
REGION113	11	22188175	22189175	16
REGION114	11	22190082	22192537	53
REGION115	11	22193457	22194457	38
REGION116	11	22195931	22196930	12
REGION117	11	22201025	22202025	39
REGION118	11	22203198	22205764	37
REGION119	12	10348	12475	98
REGION120	12	14275	22312	161
REGION121	12	23423	24495	537
REGION122	12	2408	3409	45
REGION123	12	256	1257	31
REGION124	12	3825	4826	76
REGION125	12	5519	7125	91
REGION126	12	57183	58183	4
REGION127	13	17457089	18706896	4
REGION128	13	18706651	18707651	754
REGION129	13	18712652	18713652	306
REGION130	13	18713905	18714905	286
REGION131	13	18717414	18718735	357
REGION132	13	18720796	18721796	1504
REGION133	13	19716740	19717740	21
REGION134	13	21494590	21495590	7
REGION135	13	21494608	21495608	4
REGION136	13	21569958	21571776	110
REGION137	13	21573147	21574267	54
REGION138	13	21581843	21583280	34
REGION139	13	21629893	21634113	726
REGION140	13	21635282	21643839	1610
REGION141	13	27578166	27580031	34
REGION142	13	27586314	27587314	198
REGION143	13	27593444	27594444	186
REGION144	13	27603295	27606591	146
REGION145	13	27607898	27610935	30
REGION146	13	28338294	28339294	30
REGION147	13	29011229	29012229	389
REGION148	13	29013153	29014154	427
REGION149	13	29022606	29023605	54
REGION150	13	29028979	29039006	78
REGION151	13	29042006	29043007	24
REGION152	13	29046114	29047113	39
REGION153	13	29051577	29052577	83
REGION154	13	29052078	29053531	104
REGION155	13	29056873	29083740	118
REGION156	14	13486117	13487117	3
REGION157	14	2149587	2150587	17
REGION158	14	2160360	2161359	32
REGION159	14	2161686	2162687	36
REGION160	14	2164410	2165409	28
REGION161	14	2170037	2171813	36
REGION162	14	24943969	24944969	20
REGION163	15	15408888	15412748	157
REGION164	15	16678922	16679922	3
REGION165	15	19035087	19038376	5242
REGION166	15	22805003	22806002	25
REGION167	15	24327646	24328646	87
REGION168	15	24327745	24328745	105
REGION169	15	906030	913601	565
REGION170	16	117	1118	0
REGION171	16	13937183	13938182	9
REGION172	16	13943762	13945084	28
REGION173	16	14100231	14101231	9
REGION174	16	20733260	20734261	6
REGION175	16	2112	3111	0
REGION176	16	24918	25918	12
REGION177	16	26812833	26813833	5
REGION178	16	26812977	26813978	22
REGION179	16	26815065	26816065	16
REGION180	16	26817052	26818052	2
REGION181	16	27122590	27127281	68
REGION182	16	27129478	27131508	63
REGION183	16	27137907	27138907	55
REGION184	16	27138450	27139978	27
REGION185	16	27141009	27142010	39
REGION186	16	27143087	27144086	28
REGION187	16	4363	8043	0
REGION188	16	987488	988488	4
REGION189	17	11003431	11015458	919
REGION190	17	1225710	1226711	15
REGION191	17	24276782	24277782	9
REGION192	17	7168341	7169341	1
REGION193	17	7170746	7173669	4
REGION194	17	7174751	7175751	8
REGION195	17	7177151	7180983	20
REGION196	17	7182606	7196487	81
REGION197	17	8447202	8448202	23
REGION198	17	8447409	8448408	21
REGION199	18	1322506	1323506	40
REGION200	18	16522391	16523391	11
REGION201	18	214064	215063	15
REGION202	18	480044	481044	55
REGION203	18	50	6591	42
REGION204	19	16882050	16887571	8021
REGION205	19	17070243	17071243	9
REGION206	19	20896981	20912558	72
REGION207	20	1247	2905	156
REGION208	21	15407147	15410283	235
REGION209	21	2286726	2288255	92
REGION210	21	2290425	2291550	319
REGION211	21	2292923	2293922	315.5
REGION212	21	2303683	2304683	212
REGION213	21	2303813	2304813	164
REGION214	21	2307971	2308971	64
REGION215	21	2308148	2309147	154
REGION216	21	2311177	2312177	88
REGION217	21	2311297	2312297	105
REGION218	21	2312946	2313946	246
REGION219	21	24112814	24113814	133
REGION220	21	24933839	24935379	105
REGION221	21	25030626	25031626	0
REGION222	21	25030997	25031998	18
REGION223	21	25032907	25038566	43
REGION224	21	25039900	25040900	13
REGION225	21	25053636	25055794	47
REGION226	22	1270151	1271151	7
REGION227	22	18552474	18553474	0
REGION228	22	18553019	18571204	4
REGION229	22	18571942	18572943	2
REGION230	22	19484730	19487595	128
REGION231	22	21159873	21160874	7
REGION232	22	23652090	23653090	89
REGION233	22	23652556	23653557	51
REGION234	22	23658310	23659310	54
REGION235	22	23658524	23659524	49
REGION236	22	23661319	23662319	24
REGION237	22	23666170	23667170	46
REGION238	22	23672013	23673196	14
REGION239	22	23883932	23884932	54
REGION240	22	24796579	24797580	6
REGION241	22	24803465	24804791	78
REGION242	22	24818326	24819326	66
REGION243	22	24831309	24832310	74.5
REGION244	22	24833778	24835881	25
REGION245	22	24836923	24838124	24
REGION246	22	24895342	24896342	40
REGION247	22	25542941	25543941	1
REGION248	22	26287237	26291055	91
REGION249	22	26293653	26296127	39
REGION250	22	26297548	26311966	89
REGION251	22	6877751	6878751	4
REGION252	22	6877771	6878771	6
