REGION0	1	1	20143	741
REGION0	3	32658347	32675020	564
REGION0	5	30739495	30755956	120
REGION0	9	29157690	29171055	336
REGION0	11	22173599	22189064	91
REGION0	13	21490116	21500116	7
REGION0	13	29061999	29075020	238
REGION0	14	24796420	24806420	11
REGION0	15	15406811	15417284	10
REGION0	15	903834	917025	848
REGION0	17	11010433	11020433	53
REGION0	18	475431	485431	18
REGION0	21	15403567	15414738	10
REGION0	21	25035373	25045623	15
REGION0	22	24799623	24900667	14
REGION0	22	26285161	26316377	125
REGION0	24	21418903	21440056	79
